,actualprice,discounted price,name,rating
0,0,Rs. 499,Asian Superfit Sneakers Blue Casual Shoes,72%
1,Rs. 999,Rs. 499,Sir Corbett Black Synthetic Leather Formal Shoes,74%
2,"Rs. 1,400",Rs. 599,Pollo Casual Shoes for Kids,70%
3,Rs. 999,Rs. 799,shoes icon Black Casual Boot,100%
4,Rs. 379,Rs. 378,Asian Black Casual Shoes,74%
5,"Rs. 3,499","Rs. 1,198",Lee Fox Tan Loafers,74%
6,0,Rs. 499,Asian Navy Sports Shoes,78%
7,"Rs. 9,999","Rs. 2,580",Nike Air Max 2017 Blue Running Shoes,72%
8,0,Rs. 499,Nickolas casual shoes Lifestyle Blue Casual Shoes,68%
9,"Rs. 1,299",Rs. 499,R L SHOES 217 Sneakers Black Casual Shoes,66%
10,Rs. 998,Rs. 899,ASIAN Multi Color Casual Shoe Combo,70%
11,"Rs. 2,299",Rs. 599,Katty Sneakers Black Casual Shoes,72%
12,0,Rs. 2790,Nike Nike Free OG Black Training Shoes,64%
13,0,Rs. 4999,Nike Kwazi Running Shoes,66%
14,0,Rs. 4578,Nike Pegasus 33 Red Running Shoes,72%
15,0,Rs. 1199,Treadfit Multi Color Casual Shoe Combo,64%
16,0,Rs. 499,Nickolas casual shoes Outdoor Gray Casual Shoes,72%
17,"Rs. 2,249","Rs. 1,099",Leeport Brown Derby Artificial Leather Formal Shoes,78%
18,"Rs. 6,999","Rs. 2,099",Nike OG Blue Training Shoes,70%
19,"Rs. 3,099","Rs. 1,899",Adidas Adimus M Black Sport Shoes,78%
20,Rs. 799,Rs. 489,Aadi MRJ322 Lifestyle Multi Color Casual Shoes,62%
21,"Rs. 2,299",Rs. 999,Reebok CLASS BUDDY Black CASUAL Shoes For Boys,76%
22,"Rs. 3,899","Rs. 1,499",Delize Tan Hiking & Trekking Boot,80%
23,0,Rs. 499,Big Fox N9 Chanelled Sneakers Black Casual Shoes,62%
